BOROUGH,LATITUDE,LONGITUDE,NTA
MANHATTAN,40.780633,-73.96036,Upper East Side-Carnegie Hill
MANHATTAN,40.765995,-73.979459,Midtown-Midtown South
BROOKLYN,40.701313,-73.981949,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
MANHATTAN,40.787848,-73.973331,Upper West Side
MANHATTAN,40.8023,-73.969728,Morningside Heights
BROOKLYN,40.693059,-73.981771,Fort Greene
MANHATTAN,40.756679,-73.998177,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.713846,-74.013812,Battery Park City-Lower Manhattan
MANHATTAN,40.798387,-73.970911,Upper West Side
MANHATTAN,40.810479,-73.959819,Morningside Heights
MANHATTAN,40.758759,-73.964008,Turtle Bay-East Midtown
MANHATTAN,40.752965,-73.991338,Midtown-Midtown South
QUEENS,40.710592,-73.796044,Briarwood-Jamaica Hills
MANHATTAN,40.749734,-73.993532,Midtown-Midtown South
MANHATTAN,40.749458,-73.981103,Murray Hill-Kips Bay
BROOKLYN,40.688834,-73.976905,Fort Greene
MANHATTAN,40.743596,-73.986009,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.748403,-73.974711,Turtle Bay-East Midtown
MANHATTAN,40.7698,-73.941218,Lenox Hill-Roosevelt Island
MANHATTAN,40.750177,-73.980897,Murray Hill-Kips Bay
MANHATTAN,40.763816,-73.958385,Lenox Hill-Roosevelt Island
MANHATTAN,40.75124,-73.980416,Murray Hill-Kips Bay
MANHATTAN,40.77212,-73.954257,Lenox Hill-Roosevelt Island
MANHATTAN,40.748112,-73.993543,Midtown-Midtown South
MANHATTAN,40.763245,-73.980582,Midtown-Midtown South
MANHATTAN,40.753894,-73.984812,Midtown-Midtown South
MANHATTAN,40.765608,-73.96647,Upper East Side-Carnegie Hill
MANHATTAN,40.753632,-73.991009,Midtown-Midtown South
MANHATTAN,40.767319,-73.960823,Lenox Hill-Roosevelt Island
MANHATTAN,40.738146,-74.003594,West Village
MANHATTAN,40.800011,-73.968718,Upper West Side
MANHATTAN,40.763868,-73.98016,Midtown-Midtown South
MANHATTAN,40.776097,-73.961616,Upper East Side-Carnegie Hill
MANHATTAN,40.76599,-73.969365,Upper East Side-Carnegie Hill
MANHATTAN,40.738604,-73.989911,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.798815,-73.947799,East Harlem North
MANHATTAN,40.739311,-73.97985,Murray Hill-Kips Bay
MANHATTAN,40.803394,-73.964891,Morningside Heights
MANHATTAN,40.782329,-73.976403,Upper West Side
MANHATTAN,40.796762,-73.972483,Upper West Side
BROOKLYN,40.648462,-73.969599,Flatbush
MANHATTAN,40.767164,-73.979787,Midtown-Midtown South
MANHATTAN,40.749089,-73.993944,Midtown-Midtown South
MANHATTAN,40.743907,-73.988979,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.770689,-73.960691,Upper East Side-Carnegie Hill
MANHATTAN,40.760677,-73.97061,Turtle Bay-East Midtown
BRONX,40.834313,-73.905219,Claremont-Bathgate
MANHATTAN,40.717648,-74.009004,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.752344,-73.991785,Midtown-Midtown South
MANHATTAN,40.78677,-73.979398,Upper West Side
MANHATTAN,40.772496,-73.963311,Upper East Side-Carnegie Hill
BROOKLYN,40.662306,-73.938667,Prospect Lefferts Gardens-Wingate
MANHATTAN,40.774739,-73.95623,Yorkville
MANHATTAN,40.740303,-73.988687,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.767559,-73.965278,Upper East Side-Carnegie Hill
MANHATTAN,40.712488,-73.991924,Lower East Side
MANHATTAN,40.717914,-74.003153,SoHo-TriBeCa-Civic Center-Little Italy
MANHATTAN,40.758706,-73.989276,Clinton
MANHATTAN,40.78424,-73.95422,Upper East Side-Carnegie Hill
BROOKLYN,40.689103,-73.965001,Clinton Hill
MANHATTAN,40.773891,-73.956346,Yorkville
MANHATTAN,40.7656,-73.978152,Midtown-Midtown South
MANHATTAN,40.738231,-73.992996,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.750615,-73.994622,Hudson Yards-Chelsea-Flatiron-Union Square
MANHATTAN,40.713402,-74.004635,SoHo-TriBeCa-Civic Center-Little Italy
BRONX,40.846343,-73.884177,East Tremont
MANHATTAN,40.767114,-73.964264,Upper East Side-Carnegie Hill
MANHATTAN,40.801842,-73.968457,Morningside Heights
