borough;numfloors;LAT;LONG;coordinates 
BX;7.0;40.8265065;-73.866499;40.8265065, -73.866499
BX;7.0;40.8203286;-73.866898;40.8203286, -73.866898
BX;7.0;40.8702749;-73.867561;40.8702749, -73.867561
BX;7.0;40.8261669;-73.869506;40.8261669, -73.869506
BX;12.0;40.881808;-73.869932;40.881808, -73.869932
BX;8.0;40.8623621;-73.870111;40.8623621, -73.870111
BX;8.0;40.8806503;-73.870408;40.8806503, -73.870408
BX;8.0;40.8593158;-73.870417;40.8593158, -73.870417
BX;8.0;40.8780722;-73.872109;40.8780722, -73.872109
QN;7.0;40.755650;-73.872658;40.755650, -73.872658
BX;7.0;40.875540;-73.873148;40.875540, -73.873148
BX;7.0;40.8987167;-73.873697;40.8987167, -73.873697
BX;7.0;40.8806294;-73.876364;40.8806294, -73.876364
QN;7.0;40.7413127;-73.878914;40.7413127, -73.878914
BX;18.0;40.8222003;-73.879139;40.8222003, -73.879139
BX;21.0;40.8416805;-73.880065;40.8416805, -73.880065
QN;7.0;40.7423028;-73.880897;40.7423028, -73.880897
QN;7.0;40.7380854;-73.882081;40.7380854, -73.882081
BX;8.0;40.8366465;-73.882517;40.8366465, -73.882517
BX;7.0;40.8441124;-73.882811;40.8441124, -73.882811
BX;8.0;40.8517018;-73.883123;40.8517018, -73.883123
BX;8.0;40.8752527;-73.884452;40.8752527, -73.884452
BX;8.0;40.8754399;-73.885052;40.8754399, -73.885052
BX;10.0;40.8766737;-73.886489;40.8766737, -73.886489
BX;8.0;40.8766798;-73.887129;40.8766798, -73.887129
BX;8.0;40.8720826;-73.887267;40.8720826, -73.887267
BX;7.0;40.8304982;-73.887959;40.8304982, -73.887959
BX;16.0;40.8457071;-73.888349;40.8457071, -73.888349
BX;8.0;40.8136764;-73.888475;40.8136764, -73.888475
BX;7.0;40.8435802;-73.888667;40.8435802, -73.888667
BX;9.0;40.858441;-73.889611;40.858441, -73.889611
BX;7.0;40.8228451;-73.889876;40.8228451, -73.889876
BX;7.0;40.8419739;-73.890878;40.8419739, -73.890878
